Sample	Nicotine	Cotinine	Acenaphtylene	Acenaphtene	Fluorene	Phenanthrene	Anthracene	Fluoranthene	Pyrene	Benzo[a]anthracene	Chrysene	Benzo[b]fluoranthene	Benzo[k]fluoranthene	Benzo[a]pyrene	Indeno[1,2,3-cd]pyrene	Dibenzo[a,h]anthracene	Benzo[ghi]perylene
LOR002C	0.08	1.48	0.01414	0.08485	0.4031	54.17	0.06364	4.91	18.98	1.66	4.53	0.62	0.76	0.02121	0.07	0.07071	0.24
LOR003C	0.48	45.02	2.27	7.13	30.94	179.56	12.05	43.54	26.46	1.55	5.04	0.99	1.29	0.79	1.51	0.07071	1.54
LOR005C	0.12	3.42	0.72	0.08485	11.88	180.95	4.81	33.58	48.46	2.33	6.58	1.78	1.71	0.43	0.74	0.2	0.76
LOR006C	0.67	17.68	46.27	0.08485	8.07	137.62	9.73	48.44	26.47	1.02	5.26	0.96	0.97	0.6	0.69	0.07071	0.72
LOR007C	0.29	4.72	1.98	5.65	16.14	126.16	6.35	38.01	24.47	1.07	4.72	0.97	0.86	0.31	0.66	0.07071	0.52
LOR008C	0.29	5.67	1.31	6.27	19.17	151.25	6.37	44.83	27.04	1.62	5.81	0.97	1.39	0.57	1.1	0.07071	0.57
LOR009C	0.22	6.55	0.89	12.82	28.05	216.83	11.69	61.14	34.66	1.99	9.14	1.58	1.86	0.76	1.36	0.07071	1.19
LOR011C	1.07	15.04	5.12	0.87	27.14	109.72	9.08	30.26	22.47	1.85	6.99	1.47	1.16	0.72	0.92	0.07071	1.26
LOR012C	0.07	2.84	10.63	0.08485	3.62	128	7.78	38.68	20.99	0.9	4.33	0.89	1.1	0.37	0.78	0.07071	0.38
LOR013C	0.4	12.86	11.19	0.08485	0.4031	125.54	5.06	44	28.5	1.56	10.21	1.63	1.73	0.76	0.91	0.07071	1.01
LOR014C	0.83	12.66	0.01414	0.08485	0.4031	93.59	2.68	29.41	14.63	0.88	5.9	0.84	1.28	0.5	0.89	0.07071	0.62
LOR015C	0.26	7.13	0.13	10.98	61.7	293.33	18.24	52.29	33.25	1.36	5.08	0.88	0.97	0.45	0.68	0.07071	0.64
LOR016C	0.27	2.4	4.03	0.08485	20.04	136.89	6.75	31.26	19.93	1.05	5.34	1.15	1.08	0.5	0.79	0.07071	0.94
LOR017C	4.66	58.13	0.01414	0.34	19.05	81.28	4.97	24.49	15.89	1.01	3.05	0.87	0.88	0.48	0.65	0.07071	0.75
LOR018C	0.8	5.19	0.01414	0.08485	0.4031	129.52	2.53	19.56	60.02	1.28	5.27	1.3	0.91	0.02121	0.73	0.07071	0.63
LOR019C	0.5	8.21	1.61	7.7	12.32	179.42	10.34	52.24	31.38	1.53	6.55	1.42	1.38	0.76	0.61	0.24	0.8
LOR020C	1.36	17.65	5.73	7.98	33.44	185.9	17.75	55.79	36.2	4.33	11.54	2.8	4.26	1.81	1.66	0.07071	1.55
LOR021C	0.47	7.03	8.52	13.91	24.45	115.82	12.65	26.61	17.79	1.07	4.19	0.83	0.87	0.65	0.0495	0.07071	1.42
LOR022C	0.42	6.82	5.92	8.82	24.52	138.41	11.13	48.16	45.84	1.78	8.19	1.33	1.08	0.71	0.0495	0.07071	1.85
LOR023C	0.16	3.58	15.23	9.68	52.19	290.8	29	54.82	37.11	1.91	6.2	1.07	1.13	0.74	0.75	0.07071	1.46
LOR024C	0.92	9.74	5.86	0.36	14.99	97.22	8.97	43.89	29.38	1.99	7.53	1.6	1.62	0.63	1.22	0.07071	0.97
LOR025C	0.23	7.99	0.02	0.08485	12.94	91.6	3.59	43.41	27.73	2.12	6.21	0.84	1.37	0.38	0.73	0.07071	0.62
LOR026C	1.13	26.14	8.88	5.31	40.93	263.43	21.85	63.11	42.01	3.64	10.95	1.99	1.58	1.18	1.37	0.07071	1.08
LOR027C	0.22	0.059	4.84	2.52	28.25	148.19	9.02	44.96	31.01	1.51	7.35	0.97	1.23	0.54	0.82	0.07071	0.77
LOR028C	0.24	2.83	5.14	0.12	29.06	124.05	10.54	43.24	33.3	2.38	12.02	1	1.66	0.8	0.86	0.07071	0.89
LOR029C	0.27	6.25	8.67	4.42	30.13	201.68	20.6	75.45	31.72	4	11.04	2.99	3.37	2.34	2.09	1.52	2.39
LOR030C	0.53	9.23	5.49	0.08485	35.95	166.66	8.81	49.74	33.35	2.45	7.77	1.67	2.22	0.81	0.87	0.29	1.24
LOR033C	0.32	7.41	5.27	6.12	23.81	99.02	6.03	44.19	26.64	2.06	8.17	2.4	1.64	0.96	0.64	0.27	0.83
LOR034C	0.1	2.64	5.32	15.15	53.38	174.74	13.02	30.03	17.97	1.79	5.39	0.76	1.24	0.81	0.96	0.07071	1.05
LOR036C	0.08	2.9	0.01414	7.05	14.34	130.32	6.42	33.09	21.67	0.94	5.06	0.78	1.33	0.44	0.83	0.07071	0.82
LOR037C	0.09	2.92	2.35	0.08485	0.4031	102.85	6.15	40.16	25.07	1.79	15.39	1.13	1.22	0.8	0.75	0.07071	0.76
LOR042C	0.13	3.05	0.01414	0.08485	38.81	169.01	5.15	42.8	30.29	1.75	7.09	1.31	1.67	0.55	0.7	0.28	1.2
LOR046C	0.07	1.76	4.21	11.52	46.08	204.57	21.39	54.1	27.98	1.4	6.56	1.87	1.5	0.67	1.16	0.07071	1.56
LOR051C	0.42	6.13	2.82	9.46	33.87	121.61	8.67	40.93	24.58	1.46	6.78	1.59	1.31	0.81	1.17	0.07071	0.95
LOR054C	0.74	16.94	12.64	0.08485	14.22	187.04	11.51	88.27	55.85	4.06	16.58	3.9	4.26	2.16	2.31	0.49	2.29
LOR055C	0.53	8.33	0.01414	1.17	18.48	114.3	4.54	35.16	21.22	1.33	5.19	1.05	1.54	0.4	1	0.07071	0.91
LOR058C	0.93	10.67	301.69	129.76	11.29	220.65	21.27	78.54	49	2.14	10.79	1.98	2.09	1.27	0.77	0.07071	1.2
LOR060C	0.35	4.03	8.32	8.16	18.78	112.78	4.47	21.01	12.32	0.75	4.28	0.56	0.74	0.46	0.0495	0.07071	0.65
LOR061C	0.87	16.44	2.08	8.92	28.04	237.51	9.62	65.12	43.61	3.7	16.5	1.91	1.69	0.97	0.85	0.21	1.11
LOR062C	0.28	5.19	1.26	0.08485	19.64	160.48	9.46	50.2	36.68	2.16	8.05	1.34	2.2	0.82	1.06	0.07071	1.14
LOR063C	0.13	3.69	2.35	6.88	25.62	100.81	7.77	32.1	20.97	0.88	5.11	0.87	0.73	0.32	0.69	0.07071	0.78
LOR065C	0.16	5.61	11.24	0.08485	18.04	104.65	4.91	32.23	17.69	1.24	4.71	1.04	1.43	0.8	1.11	0.07071	0.59
LOR070C	0.56	15.56	0.01414	0.08485	38.97	171.91	2.52	33.92	19.64	1.03	4.2	0.99	1.09	0.28	0.74	0.2	0.76
LOR072C	0.09	4.93	1.01	78.16	77.63	229.92	4.99	23.32	11.15	0.45	1.81	0.2	0.39	0.17	0.54	0.07071	0.43
LOR074C	0.46	13.04	8.23	9.62	13.94	148.9	6.41	53.78	38.25	2.62	8.01	1.58	1.91	0.84	0.91	0.21	0.75
LOR076C	0.66	20.56	2.46	3.7	12.98	183.69	8.23	71.33	45.2	2.99	9.31	1.78	2.43	0.98	1.18	0.07071	0.64
LOR078C	0.61	5.43	6.27	0.08485	27.44	139.94	9.64	50.79	34.19	2.11	10.06	1.09	2.03	0.65	1.11	0.07071	0.9
LOR081C	0.09	2.03	0.01414	0.08485	0.4031	63.39	0.09	3.67	21.98	0.85	3.84	1.01	0.82	0.02121	0.55	0.15	0.27
LOR082C	0.41	7.14	0.17	0.08485	0.4031	79.36	0.06364	17.73	27.19	1.35	5.53	1.21	0.97	0.03	0.6	0.1	0.39
LOR083C	0.18	3.47	5.48	0.08485	29.23	164.19	11.97	65.24	42.53	3.12	10.95	2.17	2.24	1.26	1.44	0.07071	0.99
LOR084C	0.17	5.8	6.17	9.83	19.65	186.35	8.26	50.24	29.86	2.13	8.13	1.09	1.32	0.9	1.03	0.07071	0.74
LOR085C	0.42	8.16	330.67	0.08485	0.4031	87.87	4.12	36.55	22.57	0.95	5.71	1.04	1.23	0.8	0.67	0.07071	0.8
LOR086C	0.34	11.26	5.24	12.19	46.67	144.47	15.76	40.85	27.26	1.9	6.95	1.84	1.19	0.84	1.09	0.07071	1.4
LOR090C	0.07	0.041719	6.96	2.34	19.38	143.11	9.14	39.92	25.63	1.22	6.51	0.87	1.26	0.52	0.73	0.07071	0.84
LOR091C	0.06	2.15	0.01414	0.08485	22.56	188.4	8.35	36.18	21.7	1.22	3.46	0.74	1.14	0.24	0.72	0.07071	0.74
LOR098C	0.34	6.66	0.01414	0.08485	46.48	253.11	11.37	50.46	29.14	1.77	8.16	1.6	1.33	0.57	1.11	0.07071	1.03
LOR202C	44.07	2024.66	0.81	0.08485	27.11	122.09	8.62	26.88	19.65	1.18	4.23	0.66	0.99	0.41	0.94	0.07071	0.47
LOR203C	0.14	3.4	0.01414	0.08485	15.09	114.9	6.64	18.47	12.74	0.57	2.14	0.38	0.44	0.1	0.0495	0.07071	0.35
LOR204C	1.1	10.67	4.22	7.01	24.3	142.19	11.31	42.9	29.23	2.29	6.16	1.4	1.21	0.76	0.78	0.07071	0.28
LOR206C	0.63	12.37	2.47	12.13	0.57	97.95	6.71	24.03	16.9	0.7	2.97	0.46	0.5	0.21	0.62	0.07071	0.41
LOR207C	0.29	3.26	0.01414	0.08485	0.4031	125.44	3.05	17.04	12.63	1.78	6.75	1.07	0.87	0.29	0.82	0.07071	0.89
LOR208C	0.29	1.29	4.61	0.23	19.91	81.29	5.83	14.51	10.62	0.58	2.79	0.24	0.51	0.28	0.0495	0.07071	0.41
LOR210C	0.92	10.89	6.94	22.05	32.15	174.24	13.03	35.71	25.88	1.66	6.39	0.76	1.04	0.48	0.5	0.25	0.28
LOR211C	0.63	9.5	0.01414	3.75	38.39	164.09	11.15	41.52	29.34	1.47	5.83	1.17	1.02	0.58	0.84	0.07071	0.78
LOR212C	0.23	1.35	3.87	0.08485	10.84	96.98	8.1	21.57	18.19	0.75	4.39	0.29	0.51	0.15	0.54	0.07071	0.35
LOR214C	0.7	4.08	2.63	0.08485	8.45	75.79	4.52	11.72	9.39	0.37	2.46	0.18	0.24	0.16	0.0495	0.07071	0.27
LOR215C	0.25	0.041719	4.34	0.08485	12.05	77.43	5.96	13.56	11.41	0.67	3.24	0.35	0.64	0.3	0.48	0.07071	0.7
LOR216C	0.82	7.33	0.01414	0.08485	19.18	329.12	10.74	40.47	17.94	0.69	2.5	0.53	0.72	0.33	0.66	0.07071	0.52
LOR217C	0.81	17.28	4.27	0.08485	9.82	106.78	5.8	9.13	16.45	0.84	4.11	0.49	0.33	0.02121	0.51	0.07071	0.41
LOR218C	0.93	6.59	1.16	1.22	5.81	47.06	1.61	7.88	4.95	0.43	1.65	0.33	0.34	0.18	0.41	0.07071	0.23
LOR219C	0.45	9.05	3.19	0.08485	19.28	154.64	10.76	36.02	26.99	0.79	2.64	0.5	0.6	0.22	0.7	0.07071	0.19
LOR220C	0.85	8.14	0.01414	0.08485	0.4031	104.02	5.46	13.83	17.76	0.59	2.81	0.88	0.71	0.14	0.65	0.07071	0.9
LOR221C	1.26	16.05	21.56	16.75	0.4031	114.4	8.3	34.59	26.31	1.91	4.63	1.36	2.01	0.94	1.59	0.07071	1.28
LOR222C	0.43	7.85	1.68	10.74	21.24	86.85	6.8	12.58	9.61	0.42	2.27	0.53	0.51	0.29	0.0495	0.07071	1
LOR223C	1.01	7.09	0.01414	0.08485	11.38	92.39	5.48	14.24	8.13	0.54	1.6	0.41	1.03	0.44	0.0495	0.07071	0.35
LOR224C	0.35	7.76	0.01414	0.08485	1.51	68.38	0.31	1.0465	8.34	0.33	1.41	0.3	0.14	0.82	0.45	0.07071	0.28
LOR225C	0.26	4.52	4.92	17.19	32.88	255.41	16.88	35.7	19.2	0.59	2.38	0.35	0.51	0.18	0.54	0.07071	0.32
LOR226C	0.22	2.63	2.59	7.25	34.45	80.2	8.33	8.94	5.19	0.42	1.76	0.29	0.36	0.14	0.0495	0.07071	0.43
LOR227C	2.13	17.2	3.7	0.08485	9.88	108.72	7.72	20.84	14.29	0.62	3.65	0.36	0.55	0.43	0.69	0.07071	0.51
LOR228C	0.44	11.77	14.28	24.29	82.39	344.85	29.73	45.54	38.77	0.91	3.52	0.8	0.79	0.02121	0.6	0.07071	0.45
LOR229C	0.15	4.57	3.95	5.63	18.22	125.8	7.2	26.45	17.04	0.84	2.92	0.5	0.67	0.27	0.59	0.07071	0.42
LOR230C	0.67	7	4.58	0.08485	13.15	121.45	4.15	27.19	18.13	0.77	4.02	0.41	0.49	0.28	0.33	0.07071	0.56
LOR231C	0.2	5.16	3.43	8.04	22.29	69.61	2.62	10.96	8.32	0.31	1.62	0.36	0.36	0.32	0.0495	0.07071	0.93
LOR233C	0.5	7.45	0.01414	0.08485	11.53	70.43	1.87	18.1	12.23	0.71	2.16	0.66	0.7	0.39	0.61	0.07071	0.73
LOR234C	0.3	0.041719	6	0.08485	15.73	85.33	6.14	18.05	13.42	0.68	3.22	0.38	0.61	0.32	0.49	0.07071	0.75
LOR235C	0.8	11.92	13.73	0.94	21.19	121.76	9.81	28.69	17.67	0.93	2.22	0.5	0.75	0.18	0.56	0.07071	0.42
LOR237C	4.06	55.4	15.58	7.62	39.04	190.08	17.33	52.31	33.49	3.69	12.98	2.62	2.08	1.03	0.8	0.31	0.88
LOR238C	0.28	4.47	19.56	62.58	5.95	56.37	1.86	10.37	7.41	0.72	2.3	0.42	0.53	0.22	0.45	0.07071	0.27
LOR239C	0.16	2.38	0.01414	0.08485	0.4031	43.66	0.93	6.91	25.83	1.49	3.7	0.88	0.9	0.02121	0.54	0.07071	0.3
LOR240C	0.12	5.58	0.01414	0.08485	20.29	109.23	7.98	26.82	17.63	1.23	3.49	0.88	1.03	0.43	0.87	0.07071	0.65
LOR241C	0.17	2.8	0.01414	0.08485	0.4031	50.55	0.06364	3.49	9.91	0.33	1.58	0.23	0.27	0.02121	0.45	0.07071	0.22
LOR242C	2.54	46.06	0.01414	0.08485	0.4031	73.94	1.26	9.57	16.66	0.55	2.53	0.39	0.43	0.02121	0.46	0.07071	0.43
LOR243C	0.96	9.57	9.39	31.23	27.33	183.92	12.22	30.46	23.36	1.57	5.33	0.67	0.81	0.31	0.49	0.07071	0.33
LOR246C	0.62	0.828	7.74	4.94	28.19	122.28	8.99	15.25	10.82	0.6	3.44	0.28	0.44	0.38	0.43	0.07071	0.34
LOR248C	13.01	1004.27	0.01414	0.08485	9.5	56.91	0.97	9.64	8.01	0.32	1.38	0.25	0.28	0.15	0.0495	0.07071	0.47
LOR249C	0.52	6.83	7.26	7	20.02	52.41	2.8	11.88	8.78	0.53	2.63	0.71	0.63	0.28	0.32	0.07071	0.08485
LOR254C	1.22	11.43	12.56	23.78	31.84	82.28	6	15.72	10.36	0.7	2.67	0.51	0.44	0.17	0.42	0.07071	0.08485
LOR258C	0.86	8.85	0.01414	0.08485	0.4031	92.78	2.55	1.48	20.6	0.5	1.94	0.45	0.34	0.02121	0.46	0.07071	0.08485
LOR259C	0.4	5.28	0.01414	2.82	12.58	81.98	2.37	18.05	14.38	0.55	2.15	0.31	0.28	0.16	0.0495	0.07071	0.38
LOR260C	0.07	3.31	0.7	7.87	13.27	71.97	3.34	9.13	4.52	0.4	0.93	0.16	0.34	0.05	0.44	0.07071	0.3
LOR262C	1.23	10.27	4.41	0.08485	20.98	144.99	11.7	43.79	35.59	2.19	7.2	0.89	1.97	0.95	1.29	0.07071	0.6
LOR264C	0.1	0.041719	5.77	0.08485	8.47	64.44	4.34	16.35	15.34	0.75	5.35	0.31	0.63	0.4	0.0495	0.07071	0.39
LOR269C	0.11	2.03	6.24	11.97	13.99	34.54	1.03	9.05	7.47	0.35	2.07	0.27	0.26	0.14	0.0495	0.07071	0.25
LOR270C	1.4	13.5	0.01414	0.49	10.08	80.94	4.31	18.64	15.5	0.86	2.82	0.77	0.66	0.45	0.71	0.07071	0.69
LOR272C	1.92	16.02	2.3	0.08485	0.4031	63.22	1.66	12.5	17.45	0.96	3.28	0.62	0.54	0.11	0.64	0.07071	0.7
LOR274C	0.56	6.6	0.01414	15.85	29.5	245.6	10.59	23.96	16.33	0.88	2.8	1.34	1.32	0.89	1.27	0.07071	0.99
LOR275C	0.08	1.65	0.01414	0.08485	0.4031	48.17	0.23	3.89	14.46	0.8	3.18	0.39	0.63	0.02121	0.69	0.07071	0.25
LOR279C	0.68	7.01	6.57	11.1	33.25	178.96	14.5	38.15	22.64	1.3	4.03	0.8	0.65	0.39	0.5	0.07071	0.2
LOR281C	0.79	2.69	4.49	0.08485	15.22	76.21	6.04	22.5	18.14	0.96	3.78	0.31	0.64	0.32	0.49	0.07071	0.44
LOR282C	0.48	7.89	4	7.6	4.14	66.37	4.48	11.62	10.26	0.4	1.57	0.37	0.46	0.15	0.44	0.07071	0.3
LOR283C	0.47	6.28	0.01414	0.08485	0.4031	26.37	0.06364	1.0465	16.82	1.53	4.25	0.45	0.25	0.02121	0.41	0.07071	0.08485
LOR284C	0.13	4.2	2.03	0.22	8.35	64.12	6.26	12.3	5.53	0.36	1.79	0.18	0.3	0.02121	0.39	0.07071	0.54
